,Unnamed: 0_x,bike_station_location,name,main_category_x,address,price,rating,review_count,status,distance_away_x,Unnamed: 0_y,main_category_y,distance_away_y,Unnamed: 0,latitude,longitude,num_of_bikes
14,78,"45.51658489,-122.6160378",Belmont Station,Beer Gardens,4500 SE Stark St,$$,4.0,298,Open,281.1551357036332,35,Beer Bar,272,3,45.51658489,-122.6160378,3
15,83,"45.49333654,-122.6233971",Cafe Rowan,Breakfast & Brunch,4437 SE Cesar E Chavez Blvd,$$,4.5,219,Open,315.240579103204,44,Café,331,4,45.49333654,-122.6233971,2
16,89,"45.49333654,-122.6233971",Coffee Beer,Coffee & Tea,4142 SE 42nd Ave,$$,4.5,61,Open,366.8240564586952,45,Beer Bar,361,4,45.49333654,-122.6233971,2
17,101,"45.50280906,-122.6535398",Virtuous Pie,Pizza,1126 SE Division St,$$,4.5,406,Open,211.880699787148,50,Pizzeria,200,5,45.50280906,-122.6535398,1
18,102,"45.50280906,-122.6535398",Pine State Biscuits,Breakfast & Brunch,1100 SE Division St,$$,4.5,1312,Open,230.83123146364596,54,Breakfast Spot,224,5,45.50280906,-122.6535398,1
19,104,"45.50280906,-122.6535398",Double Dragon,Sandwiches,1235 SE Division St,$$,4.0,487,Open,241.87099172931676,55,Cocktail Bar,244,5,45.50280906,-122.6535398,1
20,106,"45.50280906,-122.6535398",Palomar,Cocktail Bars,959 SE Division St,$$,4.0,223,Open,359.2944277826513,58,Cocktail Bar,355,5,45.50280906,-122.6535398,1
21,110,"45.50280906,-122.6535398",The Baker's Mark,Sandwiches,1126 SE Division St,$,4.5,271,Open,187.8284196509748,51,Fast Food Restaurant,209,5,45.50280906,-122.6535398,1
22,117,"45.50280906,-122.6535398",Original Hotcake House,Diners,1002 SE Powell Blvd,$$,3.5,610,Open,245.5036731135454,57,Dining and Drinking,236,5,45.50280906,-122.6535398,1
23,132,"45.52175423,-122.6810794",Deschutes Brewery Portland Public House,Brewpubs,210 NW 11th Ave,$$,4.0,3487,Open,325.5009757903132,67,Bar,317,6,45.52175423,-122.6810794,0
24,140,"45.50512504,-122.6533681",Double Dragon,Sandwiches,1235 SE Division St,$$,4.0,487,Open,20.865821939132324,70,Cocktail Bar,14,7,45.50512504,-122.6533681,3
25,141,"45.50512504,-122.6533681",Virtuous Pie,Pizza,1126 SE Division St,$$,4.5,406,Open,73.35755901402486,73,Pizzeria,74,7,45.50512504,-122.6533681,3
26,143,"45.50512504,-122.6533681",Palomar,Cocktail Bars,959 SE Division St,$$,4.0,223,Open,240.23839788781652,77,Cocktail Bar,239,7,45.50512504,-122.6533681,3
27,144,"45.50512504,-122.6533681",Pine State Biscuits,Breakfast & Brunch,1100 SE Division St,$$,4.5,1312,Open,100.79624021239522,75,Breakfast Spot,107,7,45.50512504,-122.6533681,3
28,156,"45.50512504,-122.6533681",Deadshot,Cocktail Bars,2133 SE 11th Ave,$$,4.5,86,Open,277.3393815467205,78,Cocktail Bar,272,7,45.50512504,-122.6533681,3
29,159,"45.50512504,-122.6533681",The Baker's Mark,Sandwiches,1126 SE Division St,$,4.5,271,Open,90.02804021232927,72,Fast Food Restaurant,78,7,45.50512504,-122.6533681,3
30,161,"45.50356665,-122.6395279",Jacqueline,Cocktail Bars,2039 SE Clinton St,$$,4.5,381,Open,412.02321566706365,85,Cocktail Bar,405,8,45.50356665,-122.6395279,3
31,165,"45.50356665,-122.6395279",Nuestra Cocina,Mexican,2135 SE Division St,$$,4.5,621,Open,372.2700548588195,84,Latin American Restaurant,363,8,45.50356665,-122.6395279,3
32,167,"45.50356665,-122.6395279",Mestizo,Latin American,2910 SE Division St,$$,4.5,168,Open,341.03974583406296,88,Bar,335,8,45.50356665,-122.6395279,3
33,171,"45.50356665,-122.6395279",Reel M Inn,American (Traditional),2430 SE Division St,$$,4.0,412,Open,143.1046446724657,83,Dive Bar,151,8,45.50356665,-122.6395279,3
34,172,"45.50356665,-122.6395279",Yama Sushi & Izakaya,Sushi Bars,2038 SE Clinton St,$$,4.0,513,Open,404.9468222756655,89,Tapas Restaurant,410,8,45.50356665,-122.6395279,3
35,177,"45.50356665,-122.6395279",Bollywood Theater,Indian,3010 SE Division St,$$,4.0,773,Open,412.2234744256388,86,Indian Restaurant,419,8,45.50356665,-122.6395279,3
36,183,"45.51623176,-122.6360679",Ken's Artisan Pizza,Pizza,304 SE 28th Ave,$$,4.5,893,Open,493.6229876742035,98,Pizzeria,502,9,45.51623176,-122.6360679,0
37,184,"45.51623176,-122.6360679",Bare Bones Cafe & Bar,Bars,2908 SE Belmont St,$$,4.0,247,Open,14.165582222706671,90,Dining and Drinking,13,9,45.51623176,-122.6360679,0
38,186,"45.51623176,-122.6360679",Baby Doll Pizza,Pizza,2835 SE Stark St,$$,4.5,522,Open,367.7402751398562,92,Pizzeria,353,9,45.51623176,-122.6360679,0
39,187,"45.51623176,-122.6360679",Mirisata,Sri Lankan,2420 SE Belmont St,$$,4.5,164,Open,384.470148448392,94,Sri Lankan Restaurant,383,9,45.51623176,-122.6360679,0
40,202,"45.51147657,-122.6662856",Shalom Y'all Restaurant,Middle Eastern,117 SE Taylor St,$$,4.5,346,Open,450.6803886086741,103,Israeli Restaurant,442,10,45.51147657,-122.6662856,11
41,220,"45.51844688,-122.651685",Nostrana,Italian,1401 SE Morrison St,$$$,4.0,1130,Open,89.80821221428094,111,Pizzeria,89,11,45.51844688,-122.651685,3
42,237,"45.51844688,-122.651685",The Roof Deck at Revolution Hall,Bars,1300 SE Stark St,$$,4.0,125,Open,66.44083296005495,112,Bar,70,11,45.51844688,-122.651685,3
