bike_station_location,name,main_category_x,address,price,rating,review_count,status,distance_away_x,main_category_y,latitude,longitude,num_of_bikes
"45.52536699,-122.6725459",Portland Burger,Burgers,304 SW 2nd Ave,$$,4.5,629,Open,551.5102298612085,Beer Bar,45.52536699,-122.6725459,14
"45.52976024,-122.6966429",Serratto,Italian,2112 NW Kearney St,$$$,4.0,717,Open,171.28845196916683,Italian Restaurant,45.52976024,-122.6966429,10
"45.52976024,-122.6966429",Bantam Tavern,Brewpubs,922 NW 21st Ave,$$,4.5,83,Open,177.96928057124876,Cocktail Bar,45.52976024,-122.6966429,10
"45.52976024,-122.6966429",Salt & Straw,Ice Cream & Frozen Yogurt,838 NW 23rd Ave,$$,4.5,4207,Open,154.7139532471438,Ice Cream Parlor,45.52976024,-122.6966429,10
"45.52196048,-122.6896772",Mediterranean Exploration Company,Mediterranean,333 NW 13th Ave,$$,4.5,951,Open,568.3769237112881,Mediterranean Restaurant,45.52196048,-122.6896772,18
"45.51299715,-122.6567262",White Owl Social Club,Lounges,1305 SE 8th Ave,$$,3.0,475,Open,112.02263026416044,Lounge,45.51299715,-122.6567262,6
"45.52374151,-122.6818129",Deschutes Brewery Portland Public House,Brewpubs,210 NW 11th Ave,$$,4.0,3487,Open,98.69096460531968,Bar,45.52374151,-122.6818129,18
"45.52374151,-122.6818129",Mediterranean Exploration Company,Mediterranean,333 NW 13th Ave,$$,4.5,951,Open,288.33097057991,Mediterranean Restaurant,45.52374151,-122.6818129,18
"45.52634601,-122.6941484",Serratto,Italian,2112 NW Kearney St,$$$,4.0,717,Open,299.0243379785132,Italian Restaurant,45.52634601,-122.6941484,10
"45.52634601,-122.6941484",Pope House Bourbon Lounge,Lounges,2075 NW Glisan St,$$,4.0,339,Open,16.919402729406425,Cocktail Bar,45.52634601,-122.6941484,10
"45.52826831,-122.6945615",Serratto,Italian,2112 NW Kearney St,$$$,4.0,717,Open,82.86704004659187,Italian Restaurant,45.52826831,-122.6945615,12
"45.52826831,-122.6945615",Bantam Tavern,Brewpubs,922 NW 21st Ave,$$,4.5,83,Open,143.71428223022608,Cocktail Bar,45.52826831,-122.6945615,12
"45.56282546,-122.6747467",Tulip Shop Tavern,American (Traditional),825 N Killingsworth St,$$,4.0,108,Open,68.14487914397805,Cocktail Bar,45.56282546,-122.6747467,15
"45.56282546,-122.6747467",Sweedeedee,Breakfast & Brunch,5202 N Albina Ave,$$,4.0,558,Open,256.4837377526885,Café,45.56282546,-122.6747467,15
"45.56282546,-122.6747467",Saraveza,"Beer, Wine & Spirits",1004 N Killingsworth St,$$,4.0,302,Open,191.3858128640373,Wine Bar,45.56282546,-122.6747467,15
"45.56282546,-122.6747467",Victoria,Cocktail Bars,4835 N Albina Ave,$$,4.0,252,Open,534.2762494352804,Cocktail Bar,45.56282546,-122.6747467,15
"45.5286366,-122.6820195",The Star,Pizza,1309 NW Hoyt St,$$,4.0,350,Open,255.44719483658983,Bar,45.5286366,-122.6820195,14
"45.5282777,-122.6766282",Deschutes Brewery Portland Public House,Brewpubs,210 NW 11th Ave,$$,4.0,3487,Open,575.9719562859005,Bar,45.5282777,-122.6766282,12
"45.53211645,-122.6986304",Breakside Brewery,American (Traditional),1570 NW 22nd Ave,$$,4.0,373,Open,256.4276184253705,Beer Bar,45.53211645,-122.6986304,14
"45.5475928,-122.6667604",Eem,Cocktail Bars,3808 N Williams Ave,$$,4.5,975,Open,350.98580151264326,Cocktail Bar,45.5475928,-122.6667604,18
"45.5475928,-122.6667604",Life of Pie Pizza,Pizza,3632 N Williams Ave,$$,4.5,872,Open,201.1715861435978,Pizzeria,45.5475928,-122.6667604,18
