bike_station_location,name,main_category,address,price,rating,review_count,status,distance_away
"45.51658489,-122.6160378",Monster Smash Burgers,Burgers,4500 SE Stark St,$$,4.5,62,Open,281.14096954341636
"45.51658489,-122.6160378",Sapphire Hotel,Lounges,5008 SE Hawthorne Blvd,$$,4.5,487,Open,643.6230410341733
"45.51658489,-122.6160378",Baka Umai,Noodles,4703 SE Hawthorne Blvd,n/a,4.5,164,Open,508.4199034708574
"45.51658489,-122.6160378",Tabor Bread,Bakeries,4438 SE Belmont St,$$,4.5,210,Open,23.868943802025335
"45.51658489,-122.6160378",Apizza Scholls,Pizza,4741 SE Hawthorne Blvd,$$,4.0,1735,Open,544.9870197684639
"45.51658489,-122.6160378",Sivalai Thai Restaurant,Thai,4806 SE Stark St,$$,4.5,957,Open,355.57599593178077
"45.51658489,-122.6160378",Tabor Tavern,American (New),5325 E Burnside St,$$,4.0,628,Open,930.3910513355914
"45.51658489,-122.6160378",Never Coffee,Coffee & Tea,4243 SE Belmont St,$$,4.0,185,Open,204.70453498666595
"45.51658489,-122.6160378",Dwaraka Indian Cuisine,Indian,3962 SE Hawthorne Blvd,$$,4.0,556,Open,682.1133456818343
"45.51658489,-122.6160378",Belmont Station,Beer Gardens,4500 SE Stark St,$$,4.0,298,Open,281.1551357036332
"45.51658489,-122.6160378",My Vice Food & Spirits,American (New),2035 SE Cesar Chavez Blvd,$$,4.5,110,Open,1071.8094450063547
"45.49333654,-122.6233971",Gladstone Street Pizza,Pizza,3813 SE Gladstone St,$$,4.0,226,Open,21.567291151233988
"45.49333654,-122.6233971",Gladstone Street Pub - The Stone,American (Traditional),3737 SE Gladstone St,$,4.0,104,Open,36.1661929893924
"45.49333654,-122.6233971",Hapa PDX,Ramen,3848 SE Gladstone St,$$,4.0,98,Open,47.66174672907443
"45.49333654,-122.6233971",Cafe Rowan,Breakfast & Brunch,4437 SE Cesar E Chavez Blvd,$$,4.5,219,Open,315.240579103204
"45.49333654,-122.6233971",Saint Pizza Lounge,Pizza,3813 SE Gladstone St,$$,4.5,40,Open,21.567291151233988
"45.49333654,-122.6233971",Hopworks Brewery,Breweries,2944 SE Powell Blvd,$$,4.0,1186,Open,974.5389838627191
"45.49333654,-122.6233971",C Bar,Breakfast & Brunch,2886 SE Gladstone St,$$,4.0,352,Open,967.871650747852
"45.49333654,-122.6233971",Keeper Coffee,Coffee & Tea,4515 SE 41st,$$,5.0,106,Open,457.7144992592036
"45.49333654,-122.6233971",Premium Matcha Cafe Maiko,Desserts,3416 SE Cesar Estrada Chavez Blvd,$$,4.5,251,Open,555.5215004193833
"45.49333654,-122.6233971",Coffee Beer,Coffee & Tea,4142 SE 42nd Ave,$$,4.5,61,Open,366.82405645869517
"45.49333654,-122.6233971",Yoko's Japanese Restaurant,Japanese,2878 SE Gladstone St,$$,4.0,402,Open,986.8176278077261
"45.49333654,-122.6233971",Bark City BBQ,Food Trucks,3582 SE Powell Blvd,$$,4.5,106,Open,437.32646443821693
"45.49333654,-122.6233971",Matt & Memere's,Southern,3582 SE Powell Blvd,$,4.5,54,Open,437.532752803878
"45.49333654,-122.6233971",DeNicola's Restaurant,Italian,3520 SE Powell Blvd,$$,3.5,392,Open,541.7574700618242
"45.49333654,-122.6233971",Pho Hung - Portland,Vietnamese,4717 SE Powell Blvd,$$,4.0,647,Open,868.3307915812951
"45.49333654,-122.6233971",13th Moon Gravity Well,Pubs,4513 SE 41st Ave,n/a,5.0,14,Open,448.5441432638713
"45.49333654,-122.6233971",Noah Halal - Gyros & Shwarma,Food Trucks,3582 SE Powell Blvd,n/a,4.5,51,Open,459.3487047716202
"45.49333654,-122.6233971",808 Grinds - Food Cart,Food Trucks,5226 SE 26th Ave,$$,4.5,136,Open,1563.9367902769084
"45.49333654,-122.6233971",Café Zamora,Coffee & Tea,3602 SE Powell Blvd,n/a,5.0,30,Open,429.9655483343116
"45.49333654,-122.6233971",Cheese Mac’n Me Crazy,Food Trucks,3582 SE Powell,n/a,4.5,35,Open,437.32646443821693
"45.50280906,-122.6535398",Jacqueline,Cocktail Bars,2039 SE Clinton St,$$,4.5,381,Open,684.5170357103775
"45.50280906,-122.6535398",Virtuous Pie,Pizza,1126 SE Division St,$$,4.5,406,Open,211.88069978714796
"45.50280906,-122.6535398",Pine State Biscuits,Breakfast & Brunch,1100 SE Division St,$$,4.5,1312,Open,230.83123146364593
"45.50280906,-122.6535398",Quaintrelle,American (New),2032 SE Clinton St,$$$,4.5,215,Open,677.1757726994258
"45.50280906,-122.6535398",Double Dragon,Sandwiches,1235 SE Division St,$$,4.0,487,Open,241.87099172931673
"45.50280906,-122.6535398",Botto's BBQ,Barbeque,3120 SE Milwaukie Ave,$$,4.5,183,Open,267.4746025897864
"45.50280906,-122.6535398",Palomar,Cocktail Bars,959 SE Division St,$$,4.0,223,Open,359.2944277826513
"45.50280906,-122.6535398",Akadi PDX,African,1001 SE Division,$$,4.5,262,Open,290.25988965951984
"45.50280906,-122.6535398",Nuestra Cocina,Mexican,2135 SE Division St,$$,4.5,621,Open,795.4639701177063
"45.50280906,-122.6535398",Edelweiss Sausage Co & Delicatessen,Delis,3119 SE 12th Ave,$$,4.0,303,Open,249.4228021087348
"45.50280906,-122.6535398",The Baker's Mark,Sandwiches,1126 SE Division St,$,4.5,271,Open,187.8284196509748
"45.50280906,-122.6535398",The Chomp,Thai,3200 SE Milwaukie Ave,n/a,4.5,32,Open,296.0824818046738
"45.50280906,-122.6535398",Taqueria Los Gorditos,Mexican,1212 SE Division St,$,3.5,479,Open,229.60138220001124
"45.50280906,-122.6535398",Yama Sushi & Izakaya,Sushi Bars,2038 SE Clinton St,$$,4.0,513,Open,690.3488153507345
"45.50280906,-122.6535398",Genie's Cafe,American (New),1101 SE Division St,$$,4.0,531,Open,253.49022407237675
"45.50280906,-122.6535398",The Beermongers,"Beer, Wine & Spirits",2415 SE 11th Ave,$,4.5,239,Open,328.8382200040131
"45.50280906,-122.6535398",Scottie's Pizza Parlor SE,Pizza,2128 SE Division St,$$,4.5,387,Open,774.3781239537285
"45.50280906,-122.6535398",Original Hotcake House,Diners,1002 SE Powell Blvd,$$,3.5,610,Open,245.5036731135454
"45.50280906,-122.6535398",Ground Breaker Brewing,Breweries,2030 SE 7th Ave,$$,4.0,255,Open,702.4213338457367
"45.50280906,-122.6535398",Teote House Cafe,Venezuelan,1615 SE 12th Ave,$$,4.0,874,Open,951.9132498343945
"45.52175423,-122.6810794",Lil' Shalom,Mediterranean,1128 SW Alder St,$$,4.5,547,Open,207.56853328326278
"45.52175423,-122.6810794",Grassa,Italian,1205 SW Washington St,$$,4.0,2018,Open,182.86824044434283
"45.52175423,-122.6810794",Screen Door Pearl District,Southern,1131 NW Couch St,$$,4.5,682,Open,259.4871547825947
"45.52175423,-122.6810794",Jake's Famous Crawfish,Seafood,401 SW 12th Ave,$$$,4.0,1850,Open,205.67307925101926
"45.52175423,-122.6810794",Bullard Tavern,Bars,813 SW Alder St,$$,4.5,234,Open,138.41749051245324
"45.52175423,-122.6810794",Cheryl’s on 12th,Breakfast & Brunch,1135 SW Washington St,$$,4.5,2506,Open,168.4776352065643
"45.52175423,-122.6810794",Lechon,Tapas Bars,113 SW Naito Pkwy,$$$,4.5,1825,Open,805.2624507860579
"45.52175423,-122.6810794",El Gaucho,Steakhouses,319 SW Broadway,$$$$,4.0,734,Open,193.9917326372671
"45.52175423,-122.6810794",Il Solito,Italian,627 SW Washington St,$$,4.0,192,Open,232.75722904588548
"45.52175423,-122.6810794",Farmhouse Kitchen Thai Cuisine,Thai,121 NW 9th Ave,$$,4.0,530,Open,238.74286312321286
"45.52175423,-122.6810794",Mucca Osteria,Italian,1022 SW Morrison St,$$$$,4.5,576,Open,228.09797259965896
"45.52175423,-122.6810794",Bamboo Sushi,Sushi Bars,404 SW 12th Ave,$$,4.0,727,Open,148.53373674261954
"45.52175423,-122.6810794",Deschutes Brewery Portland Public House,Brewpubs,210 NW 11th Ave,$$,4.0,3487,Open,325.5009757903132
"45.52175423,-122.6810794",Thai Peacock,Thai,219 SW 9th Ave,$$,4.0,1102,Open,123.75932117234602
"45.52175423,-122.6810794",Luc Lac,Vietnamese,835 SW 2nd Ave,$$,4.0,4096,Open,697.389831787442
"45.52175423,-122.6810794",Mediterranean Exploration Company,Mediterranean,333 NW 13th Ave,$$,4.5,951,Open,497.48054790061656
"45.52175423,-122.6810794",Andina,Wine Bars,1314 NW Glisan St,$$$,4.5,3242,Open,577.6472340226187
"45.52175423,-122.6810794",Lardo,Sandwiches,1205 SW Washington St,$$,4.0,1234,Open,196.34479763692758
"45.52175423,-122.6810794",Toki,Korean,580 SW 12th Ave,$$,4.0,275,Open,184.23891731148328
"45.52175423,-122.6810794",Living Room Theaters,Cinema,341 SW 10th Ave,$$,4.0,604,Open,66.39806898878493
"45.50512504,-122.6533681",Double Dragon,Sandwiches,1235 SE Division St,$$,4.0,487,Open,20.865821939132324
"45.50512504,-122.6533681",Virtuous Pie,Pizza,1126 SE Division St,$$,4.5,406,Open,73.35755901402486
"45.50512504,-122.6533681",Jacqueline,Cocktail Bars,2039 SE Clinton St,$$,4.5,381,Open,690.2408077085231
"45.50512504,-122.6533681",Palomar,Cocktail Bars,959 SE Division St,$$,4.0,223,Open,240.23839788781655
"45.50512504,-122.6533681",Pine State Biscuits,Breakfast & Brunch,1100 SE Division St,$$,4.5,1312,Open,100.79624021239522
"45.50512504,-122.6533681",Quaintrelle,American (New),2032 SE Clinton St,$$$,4.5,215,Open,691.4040534557366
"45.50512504,-122.6533681",Akadi PDX,African,1001 SE Division,$$,4.5,262,Open,159.3549145067097
"45.50512504,-122.6533681",Taqueria Los Gorditos,Mexican,1212 SE Division St,$,3.5,479,Open,28.77813604019717
"45.50512504,-122.6533681",Plumb,American (New),2133 SE 11th Ave,n/a,5.0,18,Open,277.7363807892433
"45.50512504,-122.6533681",Ranch Pizza Southeast ,Pizza,2239 SE 11th Ave,$$,4.5,44,Open,211.11946406340675
"45.50512504,-122.6533681",Genie's Cafe,American (New),1101 SE Division St,$$,4.0,531,Open,95.76919014120564
"45.50512504,-122.6533681",Nuestra Cocina,Mexican,2135 SE Division St,$$,4.5,621,Open,743.2538592800273
"45.50512504,-122.6533681",Nicholas Restaurant,Mediterranean,1109 SE Madison St,$$,4.0,1357,Open,912.6120619725996
"45.50512504,-122.6533681",Botto's BBQ,Barbeque,3120 SE Milwaukie Ave,$$,4.5,183,Open,525.0332394908248
"45.50512504,-122.6533681",Ground Breaker Brewing,Breweries,2030 SE 7th Ave,$$,4.0,255,Open,520.0514388663626
"45.50512504,-122.6533681",Apex Bar,Bars,1216 SE Division St,$,3.5,423,Open,51.88865582572789
"45.50512504,-122.6533681",Deadshot,Cocktail Bars,2133 SE 11th Ave,$$,4.5,86,Open,277.3393815467205
"45.50512504,-122.6533681",The Beermongers,"Beer, Wine & Spirits",2415 SE 11th Ave,$,4.5,239,Open,145.64354216643304
